tags,text,created_at,from_user,from_user_id,to_user_id,id,to_user
,"RT @halletecco: ""The US spends more on healthcare than China spends on... everything"" - @bobkocher","Fri, 01 Feb 2013 04:45:46 +0000",RyanWDuffy,16295296,0,297204068840009728,
,The APA commends the recent commitment from the Coalition to protect funding for Australian healthcare research http://t.co/sGtKhWrm,"Fri, 01 Feb 2013 04:45:32 +0000",apaphysio,282342728,0,297204008660131841,
,"@TaniaWalker Wow, healthcare down there is WAY more efficient than up here! When will you have results?","Fri, 01 Feb 2013 04:45:20 +0000",tabbiewolf,8835722,12135892,297203958907297792,TaniaWalker
,"Workplace health can equal greater employee satisfaction, higher productivity, healthcare cost savings &amp; more. http://t.co/MoZh0igl","Fri, 01 Feb 2013 04:45:01 +0000",MedcorDan,602992921,0,297203879580405760,
,Omoron Healthcare press conference at 2013 CES in 3D: http://t.co/xqIo19Le via @YouTube,"Fri, 01 Feb 2013 04:44:58 +0000",montebubbles,18073295,0,297203866615812097,
,How many idiots thought government healthcare was free? Well bend over!  http://t.co/Fo2xhQSv,"Fri, 01 Feb 2013 04:44:51 +0000",RTFlores,16972003,0,297203839885520896,
tcot::TGDN,"RT @dennygirltwo: HERE'S UR FREE HEALTHCARE @slone: HEY,OBAMA VOTERS! IRS: Cheapest Obamacare Plan Will Be $20,000 Per Family http://t.co/Wjw09D9s #tcot #TGDN","Fri, 01 Feb 2013 04:44:50 +0000",vortechchase,296511659,0,297203835674439680,
,"A disingenuous proposal at best, but a bad idea in any case. If you want to eliminate healthcare benefits and... http://t.co/9RSh1C3q","Fri, 01 Feb 2013 04:44:34 +0000",SupLipscomb,486369948,0,297203768175517697,
,"RT @JohnGGalt: No, you know what bullying is? Cramming a healthcare tax down the throats of the majority of Americans whom don't want it.","Fri, 01 Feb 2013 04:44:34 +0000",TiGhtLiProzi,535861200,0,297203768150327297,
DrDavisatHU::blackhistorymonth::Newark::healthcare,"""Book Signing w/ @drsampsondavis"" on Feb 20th. RSVP at http://t.co/nwgMk4Ca #DrDavisatHU #blackhistorymonth #Newark #healthcare","Fri, 01 Feb 2013 04:44:09 +0000",HUBookstore,57434390,0,297203661824749568,
,"@KenCuccinelli  Your healthcare is paid for via tax dollars so STFU about ""entitlements""","Fri, 01 Feb 2013 04:43:59 +0000",pretcap,386102578,26007752,297203621299376128,KenCuccinelli
healthcare,"Canada: $30 million in maple syrup stolen. USA: $65,000 in chicken wings stolen. #healthcare","Fri, 01 Feb 2013 04:43:47 +0000",samroebuck,19328955,0,297203568493088768,
free::Obamacare::tcot::p2,"IRS: Cheapest Obamacare Plan Will Be $20,000 Per Family | CNS News http://t.co/ub6rCujU #free healthcare #Obamacare #tcot #p2","Fri, 01 Feb 2013 04:43:41 +0000",fasfan,86591398,0,297203545218887681,
Jobs::Petersfield,"Petersfield Jobs: Healthcare Training Manager: Estiohealthcare - Petersfield, Hampshire -... http://t.co/Ltg1jQq5 #Jobs #Petersfield","Fri, 01 Feb 2013 04:43:32 +0000",Petersfield_Job,281432670,0,297203508703293440,
,Photo: Reach Health Care Executives List Globally From eSalesData Annual US and European healthcare spending... http://t.co/Qj7BOJ3r,"Fri, 01 Feb 2013 04:43:31 +0000",eSalesData,72626646,0,297203504274079744,
Jobs,"McAllen Jobs: Senior Clinical Analyst, Rio Grande Regional Hospital: HCA Healthcare - McAllen, TX - Job:... http://t.co/48cdFdWO #Jobs","Fri, 01 Feb 2013 04:43:31 +0000",McAllen_Jobs_US,237414653,0,297203503150022656,
Jobs,"McAllen Jobs: Family Practice: HCS Healthcare NCHCR - McAllen, TX - Family Practice - Multiple Hospital and... http://t.co/DPdQNuES #Jobs","Fri, 01 Feb 2013 04:43:23 +0000",McAllen_Jobs_US,237414653,0,297203470891638784,
tcot::TGDN,"RT @dennygirltwo: HERE'S UR FREE HEALTHCARE @slone: HEY,OBAMA VOTERS! IRS: Cheapest Obamacare Plan Will Be $20,000 Per Family http://t.co/Wjw09D9s #tcot #TGDN","Fri, 01 Feb 2013 04:43:20 +0000",Crusader4Zion,1013606142,0,297203455498526720,
