Scrape_date,Author,Book,Highlighted_by,Passage
2013-01-29T01:48:45.980962, by Richard N Fogoros,"Fixing American Healthcare - Wonkonians, Gekkonians, and the Grand Unification Theory of Healthcare",Highlighted by 4 Kindle users,We have a growing conviction that healthcare is an entitlement for all Americans.
2013-01-29T01:48:45.980962, by Richard N Fogoros,"Fixing American Healthcare - Wonkonians, Gekkonians, and the Grand Unification Theory of Healthcare",Highlighted by 4 Kindle users,"proposed healthcare reforms reflects the principle upon which our society is based, that is, the principle of the essential primacy of the individual."
2013-01-29T01:48:45.980962," by Mark S. Gaunya, Jennifer A. Borislow",Bend the Healthcare Trend: How Consumer-Driven Health & Wellness Plans Lower Insurance Costs,Highlighted by 5 Kindle users,"Healthcare trend is the healthcare industry's terminology for inflation, and it's made up of two components: unit cost (the actual cost of healthcare products or services) and utilization (the number of times a healthcare product or service is purchased). In most markets across the country, 30 percent of healthcare trend is unit cost and 70 percent is utilization."
2013-01-29T01:48:45.980962, by Richard N Fogoros,"Fixing American Healthcare - Wonkonians, Gekkonians, and the Grand Unification Theory of Healthcare",Highlighted by 3 Kindle users,"Any fundamental reform of American healthcare ultimately relies on rationing. The proposed rationing schemes are disguised as ""efficiency measures"" or ""quality checks"" or ""guarantees of fairness"" or some other euphemism."
2013-01-29T01:48:45.980962, by Richard N Fogoros,"Fixing American Healthcare - Wonkonians, Gekkonians, and the Grand Unification Theory of Healthcare",Highlighted by 4 Kindle users,"we're dealing with a healthcare system that traffics in covert rationing, a system in which complexity, inequity, and inefficiency are foundational operating principles."
2013-01-29T01:48:45.980962, by Jeff Margolis,The Information Cure - Solving the Healthcare Crisis Systematically through Integrated Healthcare Management,Highlighted by 3 Kindle users,"points of this book—is that the way in which the parts of the U.S. healthcare system interact or fail to interact is the real problem, not the medical care providers, the"
2013-01-29T01:48:45.980962, by Richard N Fogoros,"Fixing American Healthcare - Wonkonians, Gekkonians, and the Grand Unification Theory of Healthcare",Highlighted by 4 Kindle users,Individual patients (and their doctors) do not take the needs of society into account when they decide how much of society's money to spend on their own healthcare.
2013-01-29T01:48:45.980962, by Richard N Fogoros,"Fixing American Healthcare - Wonkonians, Gekkonians, and the Grand Unification Theory of Healthcare",Highlighted by 3 Kindle users,To ration healthcare is to withhold medical services from individuals who would probably benefit from them because we have decided not to buy those services for everybody who needs them.
2013-01-29T01:48:45.980962, by Tom Daschle,Critical: What We Can Do About the Health-Care Crisis,Highlighted by 3 Kindle users,"The lack of transparency in the health-care system hides problems and makes it difficult for patients, providers, and payers to recognize and reward high-value care. It’s nearly impossible for patients to find the performance records of doctors and hospitals or to compare their costs. Providers often have no clue about the prices of the procedures and treatments they recommend to patients."
2013-01-29T01:48:45.980962, by Jody Hoffer Gittell,"High Performance Healthcare : Using the Power of Relationships to Achieve Quality, Efficiency and Resilience",Highlighted by 4 Kindle users,"Relationships in healthcare should include the personhood of the participants, (2) affect and emotion are important components of those relationships, (3) all healthcare relationships occur in the context of reciprocal influence, and (4) the formation and maintenance of genuine relationships in healthcare are morally valuable.17"
